point,elevation
1,71.66119384765625
2,145.9616394042969
3,232.3798828125
4,135.7988891601562
5,301.7590942382812
6,218.3725738525391
7,422.4210510253906
8,317.3719482421875
9,287.6683959960938
10,312.933837890625
11,335.3790588378906
12,286.8186645507812
13,178.0693359375
14,219.8107452392578
15,148.3782958984375
16,131.2532958984375
17,234.9622344970703
18,165.11669921875
19,131.7113494873047
20,123.7353134155273
21,119.5674362182617
22,129.0776977539062
23,161.0051879882812
24,260.119140625
25,318.4413757324219
26,232.0773010253906
27,351.4142456054688
28,389.4299621582031
29,333.9902954101562
30,393.3287048339844
31,351.2542419433594
32,519.351318359375
33,447.9824523925781
34,510.5860595703125
35,329.8630676269531
36,372.9635925292969
37,433.8785095214844
38,844.951416015625
39,620.85888671875
40,626.8191528320312
41,539.3970336914062
42,515.1229248046875
43,354.2352294921875
44,596.4046630859375
45,634.163818359375
46,596.5680541992188
47,1069.00927734375
48,1032.017944335938
49,1237.516235351562
50,1547.968627929688
